,death_rate,stringency_mean,iso_code,location,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
98,1.6712662042920947,32.524039735099294,JAM,Jamaica,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,74.47,0.732
99,4.63768115942029,0.0,JPN,Japan,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,84.63,0.909
100,1.1456249690036535,66.72279999999994,JEY,Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1.4415525781980274,79.43859504132239,JOR,Jordan,109.285,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,74.53,0.735
102,1.7867096054994738,74.47395061728413,KAZ,Kazakhstan,6.681,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,73.6,0.8
103,3.044745549078305,68.97897119341569,KEN,Kenya,87.324,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,66.7,0.59
104,0.6155299480435744,73.48370229007628,OWID_KOS,Kosovo,168.155,0.0,0.0,0.0,9795.834,0.0,0.0,0.0,0.0
105,1.845866998135488,75.52999999999979,KWT,Kuwait,232.128,33.7,2.345,1.114,65530.537000000004,132.235,15.84,75.49,0.8029999999999999
107,1.2269207861822513,45.319999999999986,LAO,Laos,29.715,24.4,4.029,2.322,6397.36,368.111,4.0,67.92,0.601
108,0.7729059820240024,60.434128787878805,LVA,Latvia,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,75.29,0.847
109,2.171767028627838,59.2812154696133,LBN,Lebanon,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,78.93,0.757
110,5.6125941136208075,70.482375,LSO,Lesotho,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,54.33,0.52
111,1.3669475789172976,89.41935344827593,LBR,Liberia,49.126999999999995,19.2,3.057,1.756,752.788,272.509,2.42,64.1,0.435
112,0.46403712296983757,0.0,LBY,Libya,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,341.86199999999997,10.43,72.91,0.706
113,0.8233672366901381,47.92872093023261,LIE,Liechtenstein,237.012,0.0,0.0,0.0,0.0,0.0,7.77,82.49,0.9159999999999999
114,0.8309295216773583,45.141875000000056,LTU,Lithuania,45.135,43.5,19.002,13.777999999999999,29524.265,342.98900000000003,3.67,75.93,0.858
115,2.8771044587841446,0.0,LUX,Luxembourg,231.447,39.7,14.312000000000001,9.842,94277.965,128.275,4.42,82.25,0.904
116,1.4457411600766417,64.46088983050838,MKD,Macedonia,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,75.8,0.757
117,3.1076768016126324,57.385067264573806,MDG,Madagascar,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,67.04,0.519
118,0.713436385255648,54.178219178082145,MWI,Malawi,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,227.34900000000002,3.94,64.26,0.47700000000000004
119,0.3325020781379884,0.0,MYS,Malaysia,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,260.942,16.74,76.16,0.802
120,3.696708041014571,51.00506493506475,MDV,Maldives,1454.433,30.6,4.12,2.875,15183.616000000002,164.905,9.19,78.92,0.7170000000000001
121,0.9734991887506761,0.0,MLI,Mali,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,59.31,0.42700000000000005
123,2.1099744245524295,45.85347107437982,MHL,Marshall Islands,295.15,0.0,0.0,0.0,3819.202,557.793,30.53,73.7,0.708
124,2.2123893805309733,39.768734177215094,MRT,Mauritania,4.289,20.3,3.138,1.7919999999999998,3597.633,232.347,2.42,64.92,0.52
125,9.794477640463102,56.77369636963694,MUS,Mauritius,622.962,37.4,10.945,5.8839999999999995,20292.745,224.644,22.02,74.99,0.79
126,2.3088333811848027,64.18627530364381,MEX,Mexico,66.444,29.3,6.857,4.321000000000001,17336.468999999997,152.783,13.06,75.05,0.774
127,0.1953125,0.0,MDA,Moldova,123.655,37.6,10.864,6.955,5189.972,408.50199999999995,5.72,71.9,0.7
129,1.444895255444233,0.0,MNG,Mongolia,1.98,28.6,4.031000000000001,2.421,11840.846000000001,460.043,4.82,69.87,0.741
130,7.6923076923076925,39.95093220338984,MNE,Montenegro,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,76.88,0.8140000000000001
131,1.6687722738672146,72.5973228346459,MSR,Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16,0.0
132,0.7161976416118064,60.92965811965836,MAR,Morocco,80.08,29.6,6.769,4.209,7485.013000000001,419.14599999999996,7.14,76.68,0.667
133,2.3102101484796256,78.31098712446376,MOZ,Mozambique,37.728,17.7,3.158,1.87,1136.103,329.94199999999995,3.3,60.85,0.43700000000000006
134,1.0110918282652985,53.9990082644628,MMR,Myanmar,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,67.13,0.578
135,0.5746896275530637,71.55945205479459,NAM,Namibia,3.0780000000000003,22.0,3.552,2.085,9541.808,243.81099999999998,3.94,63.71,0.647
136,1.94098507797599,55.35701550387599,NPL,Nepal,204.43,25.0,5.809,3.2119999999999997,2442.804,260.797,7.26,70.78,0.574
138,1.531862745098039,42.731511627906954,NCL,New Caledonia,15.342,33.4,9.954,6.489,0.0,0.0,23.36,77.55,0.0
139,2.808084421391522,11.997857142857152,NZL,New Zealand,18.206,37.9,15.322000000000001,9.72,36085.843,128.797,8.08,82.29,0.917
140,5.493630573248407,27.07415254237292,NIC,Nicaragua,51.667,27.3,5.445,3.5189999999999997,5321.444,137.016,11.47,74.48,0.6579999999999999
141,1.8030340711265853,64.67174418604657,NER,Niger,16.955,15.1,2.553,1.3780000000000001,926.0,238.33900000000003,2.42,62.42,0.354
142,2.0,0.0,NGA,Nigeria,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,181.013,2.42,54.69,0.532
143,1.1255479641404367,43.61830115830133,MNP,Northern Mariana Islands,119.87799999999999,0.0,0.0,0.0,0.0,194.99400000000003,0.0,76.74,0.0
144,1.106961407758824,76.64785440613025,NOR,Norway,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,114.316,5.31,82.4,0.953
145,2.0164625600257335,64.191891891892,OMN,Oman,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,77.86,0.821
146,0.8489391756758646,82.30816000000009,PAK,Pakistan,255.57299999999998,23.5,4.495,2.78,5034.708,423.031,8.35,67.27,0.562
147,1.993602355239133,79.56894736842119,PSE,Palestine,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,74.05,0.6859999999999999
148,1.1686143572621035,52.51453389830531,PAN,Panama,55.133,29.7,7.917999999999999,5.03,22267.037,128.346,8.33,78.51,0.789
149,2.213235616158372,76.63044176706832,PNG,Papua New Guinea,18.22,22.6,3.8080000000000003,2.142,3823.1940000000004,561.494,17.65,64.5,0.544
150,3.781157104095281,81.66255999999994,PRY,Paraguay,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,199.128,8.27,74.25,0.7020000000000001
151,1.9164525739901788,70.0009407665505,PER,Peru,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,76.74,0.75
152,1.4109017641747192,51.16565737051776,PHL,Philippines,351.87300000000005,25.2,4.803,2.661,7599.188,370.43699999999995,7.07,71.23,0.6990000000000001
153,1.6134631509797743,64.59299212598431,POL,Poland,124.027,41.8,16.762999999999998,10.202,27216.445,227.331,5.91,78.73,0.865
154,1.2166582271551547,75.694148471616,PRT,Portugal,112.37100000000001,46.2,21.502,14.924000000000001,27936.896,127.84200000000001,9.85,82.05,0.847
155,0.17302451304367197,72.36605468750011,PRI,Puerto Rico,376.23199999999997,38.2,15.168,9.829,35044.67,108.094,12.9,80.1,0.0
156,2.6045594107446823,54.61189189189195,QAT,Qatar,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,80.23,0.856
157,1.7148668571890842,56.43905263157881,ROU,Romania,85.12899999999999,43.0,17.85,11.69,23313.199,370.94599999999997,9.74,76.05,0.8109999999999999
158,0.7601672367920942,71.00681818181819,RUS,Russia,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,431.29699999999997,6.18,72.58,0.816
160,1.3513513513513513,0.0,KNA,Saint Kitts and Nevis,212.865,0.0,0.0,0.0,24654.385,0.0,12.84,76.23,0.778
162,3.7701974865350087,46.96329457364336,VCT,Saint Vincent and the Grenadines,281.78700000000003,31.8,7.724,4.832,10727.146,252.675,11.62,72.53,0.723
163,1.6632016632016633,0.0,SMR,San Marino,556.6669999999999,0.0,0.0,0.0,56861.47,0.0,5.64,84.97,0.0
164,1.5865473531462064,66.5755511811023,STP,Sao Tome and Principe,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,270.113,2.42,70.39,0.589
165,2.073791348600509,48.90665354330696,SAU,Saudi Arabia,15.322000000000001,31.9,3.295,1.845,49045.41099999999,259.538,17.72,75.13,0.853
166,1.3679583781844278,57.38515999999981,SEN,Senegal,82.32799999999999,18.7,3.008,1.796,2470.58,241.21900000000002,2.42,67.94,0.505
168,3.1014249790444257,47.66764444444424,SYC,Seychelles,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,73.4,0.797
169,0.04821517744907272,52.16436860068272,SLE,Sierra Leone,104.7,19.1,2.5380000000000003,1.285,1390.3,325.721,2.42,54.7,0.419
170,2.5330396475770924,0.0,SGP,Singapore,7915.731,42.4,12.922,7.0489999999999995,85535.383,92.243,10.99,83.62,0.932
171,0.5056857228064261,48.62772000000002,SXM,Sint Maarten (Dutch part),1209.088,0.0,0.0,0.0,36327.232,0.0,0.0,78.95,0.0
172,0.8776248474859258,51.61800796812725,SVK,Slovakia,113.12799999999999,41.2,15.07,9.167,30155.152000000002,287.959,7.29,77.54,0.855
174,2.487793536386887,41.17008333333311,SLB,Solomon Islands,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,459.78,18.68,73.0,0.546
175,2.695155986999057,66.34908366533857,SOM,Somalia,23.5,16.8,2.7310000000000003,1.496,0.0,365.769,6.05,57.4,0.0
176,1.7518615777545956,50.18245791245799,ZAF,South Africa,46.754,27.3,5.343999999999999,3.053,12294.876,200.38,5.52,64.13,0.6990000000000001
177,1.9932432432432434,68.78168181818174,KOR,South Korea,527.967,43.4,13.914000000000001,8.622,35938.373999999996,85.99799999999999,6.8,83.03,0.903
178,2.842530421210156,57.77957746478871,SSD,South Sudan,0.0,19.2,3.4410000000000003,2.032,1569.888,280.775,10.43,57.85,0.38799999999999996
179,0.27862725110431535,47.3469550173011,ESP,Spain,93.105,45.5,19.436,13.799000000000001,34272.36,99.40299999999999,7.17,83.56,0.8909999999999999
180,7.884139879901094,68.86045267489693,LKA,Sri Lanka,341.955,34.1,10.068999999999999,5.331,11669.077,197.093,10.68,76.98,0.77
181,2.1544327931363205,77.91194092827017,SDN,Sudan,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,431.38800000000003,15.67,65.31,0.502
182,1.9422310756972112,70.56942148760322,SUR,Suriname,3.612,29.6,6.933,4.229,13767.118999999999,258.314,12.54,71.68,0.72
183,3.73335798816568,32.01172535211281,SWZ,Swaziland,79.492,21.5,3.1630000000000003,1.845,7738.975,333.436,3.94,60.19,0.588
184,1.1432107194674406,49.75153846153833,SWE,Sweden,24.718000000000004,41.0,19.985,13.433,46949.282999999996,133.982,4.79,82.8,0.9329999999999999
185,5.116498740554156,61.48653846153846,CHE,Switzerland,214.243,43.1,18.436,12.644,57410.166,99.73899999999999,5.59,83.78,0.9440000000000001
186,1.1986301369863013,22.22959459459441,SYR,Syria,0.0,21.7,0.0,2.577,0.0,376.264,0.0,72.7,0.536
187,0.7357449417535254,49.932615384615445,TWN,Taiwan,0.0,42.2,0.0,8.353,0.0,103.95700000000001,0.0,80.46,0.0
188,4.12573673870334,28.510874999999967,TJK,Tajikistan,64.281,23.3,3.466,2.155,2896.913,427.69800000000004,7.11,71.1,0.65
189,1.5596568754873927,43.83197368421048,TZA,Tanzania,64.699,17.7,3.108,1.874,2683.304,217.28799999999998,5.75,65.46,0.5379999999999999
191,2.2283033620015638,52.11055999999996,TLS,Timor,87.176,18.0,3.556,1.8969999999999998,6570.102,335.346,6.86,69.5,0.625
192,1.8877551020408163,71.46209016393435,TGO,Togo,143.366,19.4,2.839,1.525,1429.8129999999999,280.033,6.15,61.04,0.503
193,2.7482087323441973,51.47485943775106,TTO,Trinidad and Tobago,266.88599999999997,36.2,10.014,5.819,28763.071,228.467,10.97,73.51,0.784
194,2.7691806891025643,60.61176954732508,TUN,Tunisia,74.22800000000001,32.7,8.001,5.075,10849.296999999999,318.991,8.52,76.7,0.735
195,0.8438818565400843,46.81107758620683,TUR,Turkey,104.914,31.6,8.152999999999999,5.061,25129.341,171.285,12.13,77.69,0.7909999999999999
196,0.9045157780195865,79.15302127659575,TCA,Turks and Caicos Islands,37.312,0.0,0.0,0.0,0.0,0.0,0.0,80.22,0.0
197,1.8272234592453627,60.70479838709659,UGA,Uganda,213.75900000000001,16.4,2.168,1.308,1697.707,213.333,2.5,63.37,0.516
198,0.358763029400561,51.07968965517258,UKR,Ukraine,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,72.06,0.7509999999999999
199,4.033960811331077,59.09175438596503,ARE,United Arab Emirates,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,317.84,17.26,77.97,0.863
200,2.336586719252208,56.550202702702485,GBR,United Kingdom,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,81.32,0.922
201,1.6312056737588652,0.0,USA,United States,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,78.86,0.924
202,1.7127071823204418,44.4297933884298,VIR,United States Virgin Islands,306.48,42.2,18.601,10.799000000000001,0.0,273.67,12.26,80.58,0.0
203,0.8514882974571003,70.0565560165974,URY,Uruguay,19.750999999999998,35.6,14.655,10.360999999999999,20551.409,160.708,6.93,77.91,0.804
206,0.8738016658808738,81.75438016528916,VAT,Vatican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12,0.0
207,2.8548123980424145,59.09286689419795,VEN,Venezuela,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,72.06,0.7609999999999999
209,0.13054830287206268,0.0,WLF,Wallis and Futuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.94,0.0
210,29.082125603864732,42.11925925925904,ESH,Western Sahara,0.0,28.4,0.0,1.38,0.0,0.0,0.0,70.26,0.0
211,2.059186915338001,45.32281512605056,OWID_WRL,World,58.045,30.9,8.696,5.355,15469.207,233.07,8.51,72.58,0.0
212,2.961672473867596,74.03521186440665,YEM,Yemen,53.508,20.3,2.9219999999999997,1.5830000000000002,1479.1470000000002,495.00300000000004,5.35,66.12,0.452
213,2.471852442759012,0.0,ZMB,Zambia,22.995,17.7,2.48,1.5419999999999998,3689.2509999999997,234.49900000000002,3.94,63.89,0.588
